include_sos,mapped,sos_category,sos_category,legacy_densho_id,densho_id,sos_facility_uid,legacy_facility_type,facility_name,encyc_url,encyc_article_title,encyc_article_status,date_opened,date_closed,location_description,population_description,exclusion_orders,exit_destinations,duration_class,popsize_class,peak_population,peak_popdate,location_name,location_state,location_tgn,geo_latitude,geo_longitude,notes
yes,yes,wra,Temporary Assembly Center,50,50-a-owen,a-owen,Temporary Assembly Center,Owens Valley,https://encyclopedia.densho.org/Owens_Valley_(detention_facility)/,Owens Valley (detention facility),,"March 21, 1942","June 2, 1942",Located on the site that later became the WRA-run incarceration camp Manzanar.,"More than 90 percent were from the Los Angeles area; others were from Stockton, California, and Bainbridge Island, Washington.",,Manzanar,,,"9,666",,"Manzanar, California",California,tgn/4006871,36.7285184,-118.1462987,
yes,yes,wra,Temporary Assembly Center,51,51-a-park,a-park,Temporary Assembly Center,Parker Dam,https://encyclopedia.densho.org/Parker_Dam_(detention_facility)/,Parker Dam (detention facility),,"May 8, 1942","May 31, 1942",Located on the site that later became the WRA-run incarceration camp Poston.,"Held people from Arizona, California, Oregon, and Washington.",,Poston,,,,,"Parker, Arizona",Arizona,tgn/2007106,34.1500162,-114.2891177,
yes,yes,eais,Department of Justice Internment Camp,52,52-d-koos,d-koos,Department of Justice Internment Camp,Kooskia,https://encyclopedia.densho.org/Kooskia_(detention_facility)/,Kooskia (detention facility),,May 1943,May 1945,"Located in Clearwater National Forest in North Central Idaho, 40 miles east of the town of Kooskia. Set in a remote, heavily wooded area, the facility had been a highway construction camp sited on an old Civilian Conservation Corps (CCC) camp.","Held Japanese immigrants from the U.S. and Latin America, as well as German nationals.",,,,,100 to 200,,"Kooskia, Idaho",Idaho,tgn/2025800,46.1448942,-115.9779188,
yes,yes,eais,Department of Justice Internment Camp,53,53-d-oldr,d-oldr,Department of Justice Internment Camp,Old Raton Ranch,https://encyclopedia.densho.org/Old_Raton_(detention_facility)/,Old Raton (detention facility),,"January 23, 1942","December 18, 1942",This short-lived camp was located 13 miles east of Fort Stanton internment camp in the Lincoln National Forest in southern New Mexico.,"This little-known camp held thirty-two inmates of Japanese descent, all from Clovis, New Mexico. Men, women, and children--citizens and non-citizens alike--were rounded up based on their Japanese ancestry. The Department of Justice (DOJ) categorized the issei as ""enemy aliens"" who were accompanied by their citizen children.",,Poston;Gila River;Topaz,,,32,1942-01-23,"Lincoln, New Mexico",New Mexico,tgn/2449490,33.4920276,-105.3838716,
yes,yes,eais,U.S. Army Internment Camp,54,54-u-blan,u-blan,U.S. Army Internment Camp,Camp Blanding,https://encyclopedia.densho.org/Camp_Blanding_(detention_facility)/,Camp Blanding (detention facility),,,,"U.S. Army Internment Camp located in Starke, Florida, southwest of Jacksonville, in northeast Florida.","Held Japanese immigrants from the U.S. Also held German and Italian nationals, as well as fourteen German prisoners of war (POWs) captured in a submarine.",,,,,5,,"Starke, Florida",Florida,tgn/2021369,29.9441298,-82.1098275,
yes,yes,eais,U.S. Army Internment Camp,55,55-u-livi,u-livi,U.S. Army Internment Camp,Camp Livingston,https://encyclopedia.densho.org/Camp_Livingston_(detention_facility)/,Camp Livingston (detention facility),,"June 8, 1942",,"Located in Alexandria, Louisiana, north of Baton Rouge in the central part of the state. Hot and humid summer months with temperatures up to 130 degrees, poisonous reptiles, and stinging insects added to the hardship.",Held internees of Japanese ancestry sent from the Department of Justice-run Fort Missoula internment camp and from the U.S. Army-run Fort Sill and Camp Forrest internment camps.,,,,,"1,123",1943-03-12,"Alexandria, Louisiana",Louisiana,tgn/7013268,31.3112936,-92.4451371,https://www.alexandria-louisiana.com/camp-livingston-louisiana.htm
yes,yes,eais,U.S. Army Internment Camp,56,56-u-flor,u-flor,U.S. Army Internment Camp,Camp Florence,https://encyclopedia.densho.org/Florence_(detention_facility)/,Florence (detention facility),,,,"Located in Florence, Arizona. Florence is northeast of Casa Grande Ruins National Monument, between Phoenix and Tucson in southern Arizona. Hot desert area with extreme summer temperatures.",Held individuals of Japanese ancestry.,,,,,,,"Florence, Arizona",Arizona,tgn/7016521,33.0314508,-111.3873431,https://www.c-span.org/video/?63023-1/world-war-ii-pow-camp (on the site of current INS facility; note incinerator structure from video sw of pin)
yes,yes,eais,U.S. Army Internment Camp,57,57-u-blis,u-blis,U.S. Army Internment Camp,Fort Bliss,https://encyclopedia.densho.org/Fort_Bliss_(detention_facility)/,Fort Bliss (detention facility),,,,"Located near El Paso in southern Texas, close to the Mexico border.","Held Japanese immigrants from mainland U.S. and Hawaii, including seventy-three internees transferred from the Santa Fe internment camp; also held German and Italian nationals.",,,,,91,1942-10-01,"Fort Bliss, Texas",Texas,tgn/7021840,31.8072113,-106.4336693,http://www.usmilitariaforum.com/forums/index.php?/topic/172991-prisoner-of-war-compound-fort-bliss-texas/ (reference to water tower and old officers club)
yes,yes,eais,U.S. Army Internment Camp,58,58-u-howa,u-howa,U.S. Army Internment Camp,Fort Howard,https://encyclopedia.densho.org/Fort_Howard_(detention_facility)/,Fort Howard (detention facility),,,,"Located on old army barracks within Fort Howard Army Post, Baltimore County, Maryland.","Held Japanese immigrants from the U.S., German nationals, and German prisoners of war (POWs).",,,,,fewer than 50,,"Fort Howard, Maryland",Maryland,tgn/7016252,39.2073308,-76.44496029999999,
yes,yes,eais,U.S. Army Internment Camp,59,59-u-lewi,u-lewi,U.S. Army Internment Camp,Fort Lewis,https://encyclopedia.densho.org/Fort_Lewis_(detention_facility)/,Fort Lewis (detention facility),,1942,3/30/1943,"Located within Fort Lewis Army Base, 17 miles south of Tacoma, Washington.","Held people of Japanese descent from Alaska, Hawaii, and the mainland U.S.; also held German and Italian nationals.",,,,,50 to 100,,"Fort Lewis, Washington",Washington,tgn/1002594,47.1144444,-122.5647222,
yes,yes,eais,U.S. Army Internment Camp,60,60-u-mcdo,u-mcdo,U.S. Army Internment Camp,Fort McDowell,https://encyclopedia.densho.org/Fort_McDowell_/_Angel_Island_(detention_facility)/,Fort McDowell / Angel Island (detention facility),,,,"Also known as ""Angel Island,"" a 740-acre island in the middle of the San Francisco Bay.","Held Japanese, German, and Italian immigrants from Hawaii; one Norwegian national; and one Japanese prisoner of war (POW).",,,,,199,1942-02-21,"Fort McDowell, California",California,tgn/2335391,37.8627046,-122.4227496,
yes,yes,eais,U.S. Army Internment Camp,61,61-u-mead,u-mead,U.S. Army Internment Camp,Fort Meade,https://encyclopedia.densho.org/Fort_Meade_(detention_facility)/,Fort Meade (detention facility),,,,"Located southwest of Baltimore in Anne Arundel County, Maryland.",Held Japanese immigrants from the U.S.; also held German and Italian nationals.,,,,,100 to 200,1942-05-04,"Fort George Meade, Maryland",Maryland,tgn/2047111,39.1135041,-76.72686030000001,"https://www.baltimoresun.com/maryland/laurel/ph-ll-history-ft-meade-20160219-story.html (""bordered by Zimbroski, Broad Foot, York and Third Ave)"
yes,yes,eais,U.S. Army Internment Camp,62,62-u-rich,u-rich,U.S. Army Internment Camp,Fort Richardson,https://encyclopedia.densho.org/Fort_Richardson_(detention_facility)/,Fort Richardson (detention facility),,,,"Located 9 miles north of downtown Anchorage, Alaska.","Held Japanese immigrants from Alaska, plus two German nationals.",,,,,17,1942-02-14,"Fort Richardson, Alaska",Alaska,tgn/2335498,61.25444,-149.68833,https://www.alaskapublic.org/wp-content/uploads/2019/02/Fort-Richardson-Internment-Camp-3-21-2015-Final-Redacted.pdf
yes,yes,eais,U.S. Army Internment Camp,63,63-u-samh,u-samh,U.S. Army Internment Camp,Fort Sam Houston,https://encyclopedia.densho.org/Fort_Sam_Houston_(detention_facility)/,Fort Sam Houston (detention facility),,,,"Located in San Antonio, Texas.",Held people of Japanese descent from Alaska and Hawaii; also held German and Italian nationals.,,,,,250,1942-06-01,"Fort Sam Houston, Texas",Texas,tgn/2639743,29.4766354,-98.43076,https://www.thc.texas.gov/preserve/projects-and-programs/military-history/texas-world-war-ii/world-war-ii-japanese-american-1
yes,yes,eais,U.S. Army Internment Camp,65,65-u-grif,u-grif,U.S. Army Internment Camp,Griffith Park,https://encyclopedia.densho.org/Griffith_Park_(detention_facility)/,Griffith Park (detention facility),,March 1942,,Located at a former Civilian Conservation Corps (CCC) camp in Southern California.,Held Japanese immigrants from the U.S.; also held German and Italian nationals.,,,,,50 to 100,1942-03-12,"Burbank, California",California,tgn/2010408,34.1808392,-118.3089661,https://www.kcet.org/shows/lost-la/riots-love-fests-buried-secrets-griffith-parks-hidden-histories (CCC Camp SP-40)
yes,yes,hawaii,U.S. Army Internment Camp,66,66-u-hono,u-hono,U.S. Army Internment Camp,Honouliuli,https://encyclopedia.densho.org/Honouliuli_(detention_facility)/,Honouliuli (detention facility),,February 1943,1945,Located on 160 acres of sugarcane fields northwest of Honolulu. One of two camps used to imprison people of Japanese ancestry in Hawaii.,"Held people of Japanese ancestry, citizens and non-citizens, male and female; also held European nationals and prisoners of war (POWs) from the Pacific theater.",,,,,300,,"Honouliuli, Oahu, Hawaii",Oahu,tgn/2024962,21.3677778,-158.0361111,
yes,yes,eais,Immigration Detention Station,67,67-i-east,i-east,Immigration Detention Station,East Boston,https://encyclopedia.densho.org/East_Boston_(detention_facility)/,East Boston (detention facility),,,,"Immigration and Naturalization Service (INS) detention station located in East Boston, Massachusetts.","Held Japanese immigrants; German, Italian, and other foreign nationals.",,,,,Fewer than 50,,"East Boston, Massachusetts",Massachusetts,tgn/7015009,42.37021370000001,-71.0388601,https://www.massport.com/massport/community/initiatives/open-space-parks/the-east-boston-immigration-station/
yes,yes,eais,Immigration Detention Station,68,68-i-sanf,i-sanf,Immigration Detention Station,San Francisco,https://encyclopedia.densho.org/San_Francisco_(detention_facility)/,San Francisco (detention facility),,,,"Immigration and Naturalization Service (INS) detention station located on Silver Avenue in San Francisco, California.",Held Japanese immigrants arrested by the FBI in Northern California.,,,,,200,March 1942,"San Francisco, California",California,tgn/7420610,37.7749295,-122.4194155,https://gaic.info/internment-camps/temporary-detention-facilities/sharp-park-and-801-silver-avenue-temporary-detention-stations-san-francisco-california/
yes,yes,eais,Immigration Detention Station,69,69-i-sanp,i-sanp,Immigration Detention Station,San Pedro,https://encyclopedia.densho.org/San_Pedro_(detention_facility)/,San Pedro (detention facility),,,,"Immigration and Naturalization Service (INS) detention station located near Los Angeles in San Pedro, California.",Held Japanese immigrants arrested by the FBI.,,,,,50 to 100,,"San Pedro, California",California,tgn/7418615,33.7360619,-118.2922461,
yes,yes,eais,Immigration Detention Station,70,70-i-seat,i-seat,Immigration Detention Station,Seattle,https://encyclopedia.densho.org/Seattle_(detention_facility)/,Seattle (detention facility),,,,"Immigration and Naturalization Service (INS) detention station located in Seattle, Washington.",Held Japanese immigrants; also held German and Italian nationals.,,,,,100 to 200,,"Seattle, Washington",Washington,tgn/7014494,47.6062095,-122.3320708,
yes,yes,eais,Immigration Detention Station,71,71-i-tuna,i-tuna,Immigration Detention Station,Tuna Canyon,https://encyclopedia.densho.org/Tuna_Canyon_(detention_facility)/,Tuna Canyon (detention facility),,,,"Immigration and Naturalization Service (INS) detention station located at a former Civilian Conservation Corps (CCC) camp near Pasadena in Los Angeles County, California.",Held Japanese immigrants; also held German and Italian nationals.,,,,,300,,"Tujunga, California",California,tgn/7015468,34.2596475,-118.3082747,http://www.tunacanyon.org/history-of-the-site/tcds-map/
yes,yes,wra,Additional Facility,72,72-f-nyss,f-nyss,Additional Facility,"Nyssa, Oregon","https://encyclopedia.densho.org/Nyssa,_Oregon_(detention_facility)/","Nyssa, Oregon (detention facility)",,,,,,,,,,,,"Nyssa, Oregon",Oregon,tgn/2085219,43.8819705,-116.9979309,https://oregonnews.uoregon.edu/lccn/sn99063863/1942-06-11/ed-1/
yes,yes,hawaii,Additional Facility,73,73-f-haik,f-haik,Additional Facility,"Haiku Camp, Maui","https://encyclopedia.densho.org/Haiku%20Camp,%20Maui%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,,,,,,
yes,yes,hawaii,Additional Facility,74,74-f-hilo,f-hilo,Additional Facility,Hilo Independent Language School,https://encyclopedia.densho.org/Hilo%20Independent%20Language%20School/,,,,,,,,,,,Fewer than 50,,,,,,,
yes,yes,hawaii,Additional Facility,75,75-f-honp,f-honp,Additional Facility,Honolulu Police Station,http://encyclopedia.densho.org/Honolulu_Police_Station_(detention_facility)/,,,,,,,,,,,Fewer than 50,,,,,,,
yes,yes,hawaii,Additional Facility,76,76-f-honi,f-honi,Additional Facility,"U.S. Immigration Station Administration Building, Honolulu","http://encyclopedia.densho.org/U.S._Immigration_Station_Administration_Building,_Honolulu_(detention_facility)/",,,,,,,,,,,100 to 200,,,,,,,
yes,yes,hawaii,Additional Facility,77,77-f-kala,f-kala,Additional Facility,"Kalaheo Stockade, Kaua'i (detention facility)","https://encyclopedia.densho.org/Kalaheo%20Stockade,%20Kaua'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,,,,,,Guessed location based on Medeiros chicken farm
yes,yes,hawaii,Additional Facility,78,78-f-kaun,f-kaun,Additional Facility,"Kaunakakai Jail, Moloka'i (detention facility)","https://encyclopedia.densho.org/Kaunakakai%20Jail,%20Moloka'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,,,,,,Marked current location of structure
yes,yes,hawaii,Additional Facility,79,79-h-kila,h-kila,Additional Facility,Kilauea Military Camp (detention facility),https://encyclopedia.densho.org/Kilauea_Military_Camp_(detention_facility)/,,,,,,,,,,,50 to 100,,,,,,,
yes,yes,hawaii,Additional Facility,80,80-h-lana,h-lana,Additional Facility,"Lana'i City Jail, Lana'i (detention facility)","https://encyclopedia.densho.org/Lana'i%20City%20Jail,%20Lana'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,"Lana'i, Hawaii",Hawaii,,,,
yes,yes,hawaii,Additional Facility,81,81-h-lihu,h-lihu,Additional Facility,"Lihue Plantation, Kaua'i (detention facility)","https://encyclopedia.densho.org/Lihue%20Plantation,%20Kaua'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,,,,,,
yes,yes,hawaii,Additional Facility,82,82-h-waia,h-waia,Additional Facility,"Waiakea Prison Camp, Hawai'i (detention facility)","https://encyclopedia.densho.org/Waiakea%20Prison%20Camp,%20Hawai'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,"Waikea, Hawaii",Hawaii,,,,Exact location unknown
yes,yes,hawaii,Additional Facility,83,83-h-wail,h-wail,Additional Facility,"Wailua County Jail, Kaua'i (detention facility)","https://encyclopedia.densho.org/Wailua%20County%20Jail,%20Kaua'i%20(detention%20facility)/",,,,,,,,,,,Fewer than 50,,"Wailua, Kaua'i, Hawaii",Hawaii,,,,
yes,yes,hawaii,Additional Facility,84,84-h-wai2,h-wai2,Additional Facility,"Wailuku County Jail, Maui (detention facility)","https://encyclopedia.densho.org/Wailuku_County_Jail,_Maui_(detention_facility)/",,,,,,,,,,,Fewer than 50,,"Wailuku, Maui, Hawaii",Hawaii,,,,
yes,yes,hawaii,Additional Facility,86,86-h-waim,h-waim,Additional Facility,"Waimea Jail, Kaua'i",,,,,,,,,,,,Fewer than 50,,"Waimea, Kaua'i, Hawaii",Hawaii,,,,Assume at location of current police station
yes,yes,eais,Immigration Detention Station,87,87-i-asse,i-asse,Immigration Detention Station,"Assembly Inn, North Carolina",,,,"December 19, 1941",,,,,,,,100 to 200,November 1942 to April 1943,"Montreat, North Carolina",North Carolina,,,,http://www.phcmontreat.org/montreathistory.htm
yes,yes,eais,U.S. Army Internment Camp,88,88-u-upto,u-upto,U.S. Army Internment Camp,"Camp Upton, New York",,,,,,,,,,,,Fewer than 50,,"Upton, New York",New York,,,,AP photo: https://www.buzzfeed.com/gabrielsanchez/chilling-pictures-of-life-at-japanese-internment-camps
yes,yes,wra,Temporary Assembly Center,89,89-a-cave,a-cave,Temporary Assembly Center,Cave Creek,,Cave Creek (detention facility),article drafted,,,,,,,,,None,,"Cave Creek, Arizona",Arizona,,,,never built; https://www.azcentral.com/story/news/local/tempe-history/2017/01/05/tempe-mesa-history-arizona-ground-zero-japanese-internment-camp-divide/95957302/ ; https://www.fs.usda.gov/recarea/tonto/recreation/camping-cabins/recarea/?recid=35205&actid=29
no,yes,eais,Immigration Detention Station,90,90-i-gree,i-gree,Immigration Detention Station,"The Greenbrier, West Virginia",,,,,,,,,,,,None,,"White Sulphur Springs, West Virginia",West Virginia,,,,
yes,yes,eais,Immigration Detention Station,91,91-i-grov,i-grov,Immigration Detention Station,"Grove Park Inn, North Carolina",,,,,,,,,,,,100 to 200,September to October 1942,"Ashville, North Carolina",North Carolina,,,,
no,yes,eais,Immigration Detention Station,92,92-i-home,i-home,Immigration Detention Station,"Homestead, Virginia",,,,,,,,,,,,None,,"Hot Springs, Virginia",Virginia,,,,
yes,yes,wra,Temporary Assembly Center,93,93-a-topp,a-topp,Temporary Assembly Center,"Toppenish, Washington (detention facililty)","https://encyclopedia.densho.org/Toppenish,_Washington_(detention_facility)/",,,,,,,,,,,None,,"Toppenish, Washington",Washington,,,,
yes,yes,eais,Immigration Detention Station,94,94-i-glou,i-glou,Immigration Detention Station,"Gloucester City, New Jersey",,,,,,,,,,,,Fewer than 50,,"Gloucester, New Jersey",New Jersey,,,,https://gaic.info/internment-camps/temporary-detention-facilities/gloucester-city-new-jersey-internment-facility/
yes,yes,eais,Additional Facility,95,95-f-chic,f-chic,Additional Facility,Chicago,,,,,,,,,,,,,,"Chicago, Illinois",Illinois,,,,Site of the FBI field office
yes,yes,eais,U.S. Army Internment Camp,96,96,u-algi,U.S. Army Internment Camp,"Camp Algiers, Louisiana",,Camp Algiers (detention facility),forthcoming,,,,,,,,,Fewer than 50,,"New Orleans, Louisiana",Louisiana,,,,Greg Robinson cites NO as point of debarkation for Japanese latin americans:  https://www.nichibei.org/2011/11/the-great-unknown-and-the-unknown-great-the-astonishing-history-of-japanese-americans-in-louisiana-2/; https://www.cbp.gov/border-security/along-us-borders/border-patrol-sectors/new-orleans-sector-louisiana/new-orleans-station; https://www.wwno.org/post/wwii-internment-camp-camp-algiers-part-i
yes,no,eais,,97,97,,,Panama Canal Zone,,,,,,,Issei in the Canal Zone,,,,,,,"Panama Canal Zone, Panama",Panama,,,,http://www.discovernikkei.org/en/journal/2018/4/26/japanese-internment-panama/; encyclopedia article forthcoming
yes,no,eais,Additional Facility,98,98,f-lacj,Additional Facility,Los Angeles County Jail,,Los Angeles County Jail (detention facility),forthcoming,,,,Issei from Southern California,,,,,200 to 500,,"Los Angeles, California",California,,,,Hall of Justice or Lincoln Heights location?
yes,yes,wra,Additional Facility,99,99,f-hillc,Additional Facility,Hillcrest Sanitarium,https://encyclopedia.densho.org/Hillcrest_Sanitarium/,,,,,,TB patients,,,,,100 to 200,,"La Crescenta, CA",California,,,,
yes,yes,eais,Immigration Detention Station,100,100,i-chic,Immigration Detention Station,"Chicago, South Ellis Avenue",,Chicago (detention facility),article drafted,,,,Issei in Chicago area,,,,,Fewer than 50,,"Chicago, Ilinois",Illinois,,,,https://gaic.info/internment-camps/temporary-detention-facilities/4800-ellis-avenue-chicago-illinois/
